"","X","eventid","iyear","imonth","iday","extended","country","region","latitude","longitude","specificity","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","attacktype1","targtype1","targsubtype1","natlty1","guncertain1","individual","weaptype1","weapsubtype1","nkill","Cluster"
"2460",110805,201409300017,2014,9,30,0,4,6,33.598633,69.228996,1,0,1,1,1,0,0,1,0,6,14,67,4,0,0,9,24,3,3
"2461",35909,199012150003,1990,12,15,0,160,5,6.786284,125.212718,1,0,1,1,1,0,0,1,0,2,3,25,160,0,0,5,2,15,3
"2462",51463,199701030004,1997,1,3,0,183,11,-29.600315,30.38159,1,0,0,1,1,1,0,1,0,2,14,76,183,0,0,5,2,2,3
"2463",11608,198110090003,1981,10,9,0,26,3,-16.509317,-68.10434,1,0,1,1,1,-9,0,1,0,3,1,12,26,0,0,6,28,0,3
"2464",106767,201406140107,2014,6,14,0,4,6,35.264812,62.999504,1,0,1,1,1,0,1,0,0,7,20,107,422,0,0,5,5,0,8
"2465",20208,198505280007,1985,5,28,0,603,8,54.607712,-5.95621,1,0,1,1,1,0,0,1,0,1,14,69,233,0,0,5,5,1,1
"2466",6480,197904170003,1979,4,17,0,603,8,54.194973,-6.397842,1,0,1,1,1,0,0,1,0,3,3,23,233,0,0,6,8,4,2
"2467",49776,199604250004,1996,4,25,0,45,3,6.898522,-76.17332,1,0,1,1,1,0,0,1,0,6,2,18,45,0,0,13,22,0,1
"2468",141290,201707030039,2017,7,3,0,147,11,11.650085,14.104489,1,0,1,1,0,1,0,0,0,2,4,27,147,0,0,5,2,10,5
"2469",39902,199201200011,1992,1,20,0,186,6,7.716666,81.700188,3,0,1,1,1,0,0,1,0,3,2,14,186,0,0,6,8,0,6
